specObjID,bestObjID,plate,mjd,fiberID,subClass,ra,dec,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,elodieObject,elodieSpType,elodieBV,elodieTEff,elodieLogG,elodieFeH
4968597487294369792,1237678778472071285,4413,55894,4,A5II (34578),346.0909,5.497036,22.53858,20.98468,20.66021,20.67541,20.72357,HD002796,Fw,0.647,4949,1.32,-2.32
4968701940899008512,1237678778471154206,4413,55894,384,A5II (34578),344.072,5.36475,23.6879,21.81537,21.63844,21.53805,21.10581,HD005234,K2III,1.226,4318,1.76,-0.25
4972018066861084672,1237678623302681515,4416,55828,160,A5II (34578),3.707585,5.36175,22.77128,21.02589,20.78516,20.66339,20.58245,HD049368,S...,1.756,3700,1,-0.45
4975429852096385024,1237678434330280103,4419,55867,284,A5II (34578),10.17207,4.477451,21.30489,19.98868,19.73128,19.68216,19.50623,HD036395,M1V,1.474,3705,4.8,0.6
4977659111770705920,1237678622233854428,4421,55858,202,A5II (34578),14.95463,4.485892,22.713,20.98751,20.84802,20.66794,20.5515,HD028343,K7V,1.363,3900,4.232,0.17
4979970285732384768,1237678662505005451,4423,55889,418,A5II (34578),16.63374,5.357795,21.9462,21.25429,21.09702,21.28442,21.39386,HD001227,G8II-III,0.895,5063,2.65,0.25
4979978806947500032,1237678623845122347,4423,55889,449,A5II (34578),16.44538,5.658728,22.05326,21.37927,21.23302,21.12989,21.01908,HD001835,G3V,0.621,5771,4.44,0.15
4981219874707886080,1237670015115002478,4424,55532,868,A5II (34578),22.18577,6.720963,22.2798,21.0283,20.89603,20.76362,20.63777,HD049368,S...,1.756,3700,1,-0.45
4982197071237107712,1237678661432377522,4425,55864,327,A5II (34578),19.12218,4.588977,22.6377,21.62537,21.45881,21.56957,21.04115,HD026297,G5/G6IVw,1.072,4437,1.08,-1.69
4984523367040438272,1237669698371780940,4427,56107,598,A5II (34578),333.0762,6.685937,22.69749,21.12483,20.86736,20.69236,20.5786,HD028343,K7V,1.363,3900,4.232,0.17
4985584397136973824,1237678777930678683,4428,56189,362,A5II (34578),335.7166,4.738457,23.29927,21.72216,21.47655,21.46375,21.26841,HD037742,O9.5Ib...,-0.199,9899,2.924,0.09
4999183695799930880,1237651191349052104,4440,55539,684,A5II (34578),114.2177,35.46196,22.24182,21.32463,21.17379,21.40925,20.56845,HD036395,M1V,1.474,3705,4.8,0.6
5003686745654710272,1237674368064684751,4444,55538,682,A5II (34578),112.6875,33.24798,21.93466,20.54744,20.44486,20.43361,20.4068,BD+174708,sdF8,0.394,5949,3.93,-1.7
5004643322180161536,1237660635447951702,4445,55622,66,A5II (34578),130.0504,31.81708,21.34229,20.57512,20.37679,20.27212,20.07066,HD019445,A4p,0.43,5937,4.37,-2.03
5005892366835666944,1237657775001174212,4446,55589,514,A5II (34578),124.5858,32.67876,24.04509,22.87003,21.54506,21.65332,22.2406,HD000245,G2V,0.539,5373,4.37,-1.08
